127.0.0.1 - - [18/Nov/2022:14:21:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:25:30 +0900] "GET /el HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:25:31 +0900] "GET /el/ HTTP/1.1" 500 2516
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:25:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:27:18 +0900] "GET /el/ HTTP/1.1" 500 2589
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:29:14 +0900] "GET /el/ HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:29:41 +0900] "GET /el/ HTTP/1.1" 500 2446
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:29:55 +0900] "GET /el/ HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:29:58 +0900] "GET /el/jstl/index.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:29:59 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:36:33 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 500 2579
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:36:54 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:21 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:27 +0900] "GET /el/ HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:30 +0900] "GET /el/color_choice.jsp?c=black HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:30 +0900] "GET /el/ HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:31 +0900] "GET /el/jstl/index.jsp HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:33 +0900] "GET /el/ HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:37 +0900] "GET /el/jstl/index.jsp HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:37:38 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:46:54 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:46:56 +0900] "GET /el/ HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:46:57 +0900] "GET /el/color_choice.jsp?c=blue HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:46:57 +0900] "GET /el/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:46:59 +0900] "GET /el/scope/scope_data.jsp HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:00 +0900] "GET /el/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:01 +0900] "GET /el/param/form_data.jsp HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:02 +0900] "GET /el/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:03 +0900] "GET /el/operator/calculator.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:04 +0900] "GET /el/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:07 +0900] "GET /el/param/form_data.jsp HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:07 +0900] "GET /el/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:08 +0900] "GET /el/operator/calculator.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:09 +0900] "GET /el/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:10 +0900] "GET /el/array/array_data.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:20 +0900] "GET /el/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:22 +0900] "GET /el/color_choice.jsp?c=white HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:22 +0900] "GET /el/ HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:23 +0900] "GET /el/color_choice.jsp?c=black HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:23 +0900] "GET /el/ HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:24 +0900] "GET /el/jstl/index.jsp HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:47:27 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [18/Nov/2022:14:48:16 +0900] "GET /el/jstl/core.jsp HTTP/1.1" 200 2866
